iter	Passed	Remaining
635	5831	3337
636	5839	3327
637	5848	3318
638	5856	3308
639	5865	3299
640	5873	3289
641	5882	3280
642	5890	3270
643	5899	3260
644	5907	3251
645	5915	3241
646	5923	3231
647	5932	3222
648	5940	3212
649	5949	3203
650	5959	3194
651	5968	3185
652	5977	3176
653	5985	3166
654	5994	3157
655	6002	3147
656	6011	3138
657	6019	3128
658	6028	3119
659	6036	3109
660	6045	3100
661	6053	3090
662	6062	3081
663	6070	3071
664	6079	3062
665	6087	3053
666	6096	3043
667	6105	3034
668	6113	3024
669	6122	3015
670	6131	3006
671	6140	2997
672	6148	2987
673	6157	2978
674	6165	2968
675	6174	2959
676	6183	2949
677	6194	2941
678	6213	2937
679	6232	2932
680	6253	2929
681	6268	2922
682	6277	2913
683	6288	2905
684	6300	2897
685	6311	2889
686	6320	2879
687	6328	2870
688	6342	2863
689	6351	2853
690	6360	2844
691	6368	2834
692	6377	2825
693	6386	2815
694	6395	2806
695	6404	2797
696	6412	2787
697	6421	2778
698	6430	2769
699	6438	2759
700	6447	2750
701	6456	2740
702	6465	2731
703	6474	2722
704	6482	2712
705	6491	2703
706	6500	2693
707	6508	2684
708	6517	2675
709	6526	2665
710	6535	2656
711	6543	2646
712	6552	2637
713	6561	2628
714	6570	2618
715	6578	2609
716	6587	2600
717	6595	2590
718	6604	2581
719	6613	2571
720	6622	2562
721	6630	2553
722	6639	2543
723	6647	2534
724	6656	2524
725	6665	2515
726	6674	2506
727	6682	2496
728	6691	2487
729	6699	2478
730	6708	2468
731	6717	2459
732	6725	2449
733	6734	2440
734	6742	2431
735	6751	2421
736	6760	2412
737	6769	2403
738	6777	2393
739	6786	2384
740	6794	2374
741	6803	2365
742	6811	2356
743	6821	2347
744	6829	2337
745	6838	2328
746	6847	2319
747	6855	2309
748	6864	2300
749	6873	2291
750	6881	2281
751	6890	2272
752	6899	2263
753	6908	2253
754	6918	2245
755	6927	2235
756	6936	2226
757	6944	2217
758	6953	2207
759	6961	2198
760	6969	2188
761	6978	2179
762	6986	2170
763	6995	2160
764	7003	2151
765	7012	2142
766	7021	2132
767	7029	2123
768	7038	2114
769	7047	2105
770	7055	2095
771	7064	2086
772	7073	2077
773	7082	2067
774	7090	2058
775	7101	2049
776	7110	2040
777	7119	2031
778	7127	2022
779	7136	2012
780	7144	2003
781	7153	1994
782	7162	1984
783	7170	1975
784	7178	1966
785	7187	1956
786	7196	1947
787	7204	1938
788	7213	1929
789	7221	1919
790	7230	1910
791	7239	1901
792	7247	1891
793	7256	1882
794	7264	1873
795	7277	1864
796	7288	1856
797	7300	1848
798	7322	1842
799	7339	1834
800	7357	1828
801	7374	1820
802	7383	1811
803	7391	1802
804	7400	1792
805	7409	1783
806	7417	1773
807	7426	1764
808	7434	1755
809	7442	1745
810	7451	1736
811	7459	1727
812	7468	1717
813	7477	1708
814	7485	1699
815	7493	1689
816	7502	1680
817	7510	1671
818	7519	1661
819	7527	1652
820	7535	1643
821	7544	1633
822	7552	1624
823	7561	1615
824	7569	1605
825	7578	1596
826	7587	1587
827	7596	1577
828	7605	1568
829	7613	1559
830	7622	1550
831	7630	1540
832	7639	1531
833	7647	1522
834	7656	1513
835	7665	1503
836	7674	1494
837	7682	1485
838	7691	1476
839	7700	1466
840	7708	1457
841	7717	1448
842	7725	1438
843	7734	1429
844	7742	1420
845	7751	1411
846	7760	1401
847	7769	1392
848	7777	1383
849	7786	1374
850	7795	1364
851	7803	1355
852	7812	1346
853	7821	1337
854	7829	1327
855	7838	1318
856	7847	1309
857	7856	1300
858	7864	1290
859	7873	1281
860	7881	1272
861	7890	1263
862	7899	1253
863	7907	1244
864	7916	1235
865	7925	1226
866	7933	1217
867	7941	1207
868	7950	1198
869	7958	1189
870	7967	1180
871	7975	1170
872	7984	1161
873	7992	1152
874	8001	1143
875	8010	1133
876	8018	1124
877	8027	1115
878	8035	1106
879	8044	1096
880	8053	1087
881	8061	1078
882	8070	1069
883	8079	1060
884	8090	1051
885	8098	1042
886	8107	1032
887	8116	1023
888	8124	1014
889	8133	1005
890	8142	996
891	8150	986
892	8159	977
893	8168	968
894	8176	959
895	8185	950
896	8193	940
897	8202	931
898	8211	922
899	8219	913
900	8228	904
901	8237	894
902	8245	885
903	8253	876
904	8262	867
905	8271	858
906	8280	849
907	8289	839
908	8297	830
909	8306	821
910	8314	812
911	8323	803
912	8332	793
913	8340	784
914	8350	775
915	8363	766
916	8378	758
917	8395	749
918	8407	741
919	8418	732
920	8431	723
921	8443	714
922	8458	705
923	8469	696
924	8485	688
925	8494	678
926	8502	669
927	8511	660
928	8520	651
929	8529	641
930	8537	632
931	8545	623
932	8554	614
933	8563	605
934	8572	595
935	8581	586
936	8589	577
937	8598	568
938	8607	559
939	8615	549
940	8624	540
941	8632	531
942	8641	522
943	8650	513
944	8658	503
945	8667	494
946	8676	485
947	8684	476
948	8693	467
949	8702	458
950	8711	448
951	8720	439
952	8728	430
953	8737	421
954	8745	412
955	8754	402
956	8763	393
957	8771	384
958	8780	375
959	8788	366
960	8797	357
961	8805	347
962	8814	338
963	8822	329
964	8831	320
965	8840	311
966	8848	301
967	8857	292
968	8865	283
969	8874	274
970	8883	265
971	8892	256
972	8901	246
973	8910	237
974	8918	228
975	8927	219
976	8936	210
977	8945	201
978	8953	192
979	8962	182
980	8971	173
981	8980	164
982	8989	155
983	8997	146
984	9006	137
985	9015	128
986	9023	118
987	9032	109
988	9041	100
989	9049	91
990	9060	82
991	9069	73
992	9078	63
993	9087	54
994	9096	45
995	9105	36
996	9113	27
997	9122	18
998	9130	9
999	9139	0
